[10/02/2026 4:19:34] --> GM: Henrique [268474226], Target: [no-target], Action: [admin_invul], Params: [] 
[10/02/2026 4:22:55] --> GM: Henrique [268474226], Target: [no-target], Action: [admin_instant_move], Params: [] 
[10/02/2026 4:22:59] --> GM: Henrique [268474226], Target: [no-target], Action: [admin_instant_move], Params: [] 
[10/02/2026 4:23:26] --> GM: Henrique [268474226], Target: [Wild Strider], Action: [admin_invul], Params: [] 
[10/02/2026 4:24:19] --> GM: Henrique [268474226], Target: [Deinonychus], Action: [admin_gmspeed 4], Params: [] 
[10/02/2026 4:24:46] --> GM: Henrique [268474226], Target: [Elroki], Action: [admin_gmspeed 0], Params: [] 
[10/02/2026 4:24:56] --> GM: Henrique [268474226], Target: [Deinonychus], Action: [admin_gmspeed 1], Params: [] 
[10/02/2026 4:25:00] --> GM: Henrique [268474226], Target: [Deinonychus], Action: [admin_gmspeed 2], Params: [] 
[10/02/2026 4:26:45] --> GM: Henrique [268474226], Target: [Elroki], Action: [admin_gmspeed 3], Params: [] 
[10/02/2026 4:37:41] --> GM: Henrique [268474226], Target: [Adventure Guildsman], Action: [admin_gmspeed 3], Params: [] 
[10/02/2026 4:38:22] --> GM: Henrique [268474226], Target: [Tatiana], Action: [admin_gmspeed 3], Params: [] 
[10/02/2026 4:38:25] --> GM: Henrique [268474226], Target: [Tatiana], Action: [admin_gmspeed 4], Params: [] 
[10/02/2026 5:22:55] --> GM: Henrique [268474226], Target: [no-target], Action: [admin_gmspeed 1], Params: [] 
[10/02/2026 5:24:05] --> GM: Henrique [268474226], Target: [Prophet's Aide], Action: [admin_gmspeed 3], Params: [] 
[10/02/2026 5:32:27] --> GM: Henrique [268474226], Target: [Ketra Orc General], Action: [admin_gmspeed 0], Params: [] 
[10/02/2026 5:32:38] --> GM: Henrique [268474226], Target: [Ketra Orc Warrior], Action: [admin_gmspeed 1], Params: [] 
[10/02/2026 6:16:16] --> GM: Henrique [268474226], Target: [Ketra Orc General], Action: [admin_gmspeed 3], Params: [] 
[10/02/2026 6:18:02] --> GM: Henrique [268474226], Target: [Ketra Orc Medium], Action: [admin_gmspeed 0], Params: [] 
[10/02/2026 6:18:37] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_setclass], Params: [] 
[10/02/2026 6:18:43] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_setclass], Params: [ 103] 
[10/02/2026 6:18:47] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_setclass], Params: [] 
[10/02/2026 6:18:50] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_show_skills], Params: [] 
[10/02/2026 6:18:51] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_remove_all_skills], Params: [] 
[10/02/2026 6:18:53] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_setclass], Params: [] 
[10/02/2026 6:18:57] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_show_skills], Params: [] 
[10/02/2026 6:18:58] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_give_all_skills], Params: [] 
[10/02/2026 6:19:09] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_show_characters], Params: [ 0] 
[10/02/2026 6:19:10] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_admin], Params: [] 
[10/02/2026 6:19:12] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_create_item], Params: [] 
[10/02/2026 6:19:13] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_clear_inventory], Params: [] 
[10/02/2026 6:19:18] --> GM: Henrique [268474226], Target: [Henrique], Action: [admin_gmshop], Params: [] 
[10/02/2026 6:23:07] --> GM: Henrique [268474226], Target: [Ketra Orc Shaman], Action: [admin_gmspeed 2], Params: [] 
[10/02/2026 6:23:31] --> GM: Henrique [268474226], Target: [Grazing Buffalo], Action: [admin_gmspeed 0], Params: [] 
